file_name,speaker,path,emotion,sentence,Duration (seconds),Sampling Rate (Hz),dataset,mel_npy_path,mel_png_path,emotion_encoded,emotion_Anger,emotion_Disgust,emotion_Fear,emotion_Happiness,emotion_Neutral,emotion_Sadness
03a01Fa.wav,03,Data/padded_audio/EmoDB/wav/03a01Fa.wav,Happiness,The cloth is lying on the icebox.,1.89825,16000,EmoDB,Data/mel_spectrograms/EmoDB/wav/03a01Fa.npy,Data/mel_spectrograms/EmoDB/wav/03a01Fa.png,3,0.0,0.0,0.0,1.0,0.0,0.0
03a01Nc.wav,03,Data/padded_audio/EmoDB/wav/03a01Nc.wav,Neutral,The cloth is lying on the icebox.,1.61125,16000,EmoDB,Data/mel_spectrograms/EmoDB/wav/03a01Nc.npy,Data/mel_spectrograms/EmoDB/wav/03a01Nc.png,4,0.0,0.0,0.0,0.0,1.0,0.0
03a01Wa.wav,03,Data/padded_audio/EmoDB/wav/03a01Wa.wav,Anger,The cloth is lying on the icebox.,1.8778125,16000,EmoDB,Data/mel_spectrograms/EmoDB/wav/03a01Wa.npy,Data/mel_spectrograms/EmoDB/wav/03a01Wa.png,0,1.0,0.0,0.0,0.0,0.0,0.0
03a02Fc.wav,03,Data/padded_audio/EmoDB/wav/03a02Fc.wav,Happiness,The knife is in the drawer.,2.00625,16000,EmoDB,Data/mel_spectrograms/EmoDB/wav/03a02Fc.npy,Data/mel_spectrograms/EmoDB/wav/03a02Fc.png,3,0.0,0.0,0.0,1.0,0.0,0.0
03a02Nc.wav,03,Data/padded_audio/EmoDB/wav/03a02Nc.wav,Neutral,The knife is in the drawer.,1.4398125,16000,EmoDB,Data/mel_spectrograms/EmoDB/wav/03a02Nc.npy,Data/mel_spectrograms/EmoDB/wav/03a02Nc.png,4,0.0,0.0,0.0,0.0,1.0,0.0
03a02Ta.wav,03,Data/padded_audio/EmoDB/wav/03a02Ta.wav,Sadness,The knife is in the drawer.,1.7356875,16000,EmoDB,Data/mel_spectrograms/EmoDB/wav/03a02Ta.npy,Data/mel_spectrograms/EmoDB/wav/03a02Ta.png,5,0.0,0.0,0.0,0.0,0.0,1.0
03a02Wb.wav,03,Data/padded_audio/EmoDB/wav/03a02Wb.wav,Anger,The knife is in the drawer.,2.123625,16000,EmoDB,Data/mel_spectrograms/EmoDB/wav/03a02Wb.npy,Data/mel_spectrograms/EmoDB/wav/03a02Wb.png,0,1.0,0.0,0.0,0.0,0.0,0.0
03a02Wc.wav,03,Data/padded_audio/EmoDB/wav/03a02Wc.wav,Anger,The knife is in the drawer.,1.4980625,16000,EmoDB,Data/mel_spectrograms/EmoDB/wav/03a02Wc.npy,Data/mel_spectrograms/EmoDB/wav/03a02Wc.png,0,1.0,0.0,0.0,0.0,0.0,0.0
03a04Ad.wav,03,Data/padded_audio/EmoDB/wav/03a04Ad.wav,Fear,I might tell him tonight.,1.504875,16000,EmoDB,Data/mel_spectrograms/EmoDB/wav/03a04Ad.npy,Data/mel_spectrograms/EmoDB/wav/03a04Ad.png,2,0.0,0.0,1.0,0.0,0.0,0.0
03a04Fd.wav,03,Data/padded_audio/EmoDB/wav/03a04Fd.wav,Happiness,I might tell him tonight.,1.6968125,16000,EmoDB,Data/mel_spectrograms/EmoDB/wav/03a04Fd.npy,Data/mel_spectrograms/EmoDB/wav/03a04Fd.png,3,0.0,0.0,0.0,1.0,0.0,0.0
03a04Nc.wav,03,Data/padded_audio/EmoDB/wav/03a04Nc.wav,Neutral,I might tell him tonight.,1.5613125,16000,EmoDB,Data/mel_spectrograms/EmoDB/wav/03a04Nc.npy,Data/mel_spectrograms/EmoDB/wav/03a04Nc.png,4,0.0,0.0,0.0,0.0,1.0,0.0
03a04Ta.wav,03,Data/padded_audio/EmoDB/wav/03a04Ta.wav,Sadness,I might tell him tonight.,2.0635625,16000,EmoDB,Data/mel_spectrograms/EmoDB/wav/03a04Ta.npy,Data/mel_spectrograms/EmoDB/wav/03a04Ta.png,5,0.0,0.0,0.0,0.0,0.0,1.0
03a04Wc.wav,03,Data/padded_audio/EmoDB/wav/03a04Wc.wav,Anger,I might tell him tonight.,2.044125,16000,EmoDB,Data/mel_spectrograms/EmoDB/wav/03a04Wc.npy,Data/mel_spectrograms/EmoDB/wav/03a04Wc.png,0,1.0,0.0,0.0,0.0,0.0,0.0
03a05Aa.wav,03,Data/padded_audio/EmoDB/wav/03a05Aa.wav,Fear,The black piece of paper is up there next to the piece of wood.,3.087625,16000,EmoDB,Data/mel_spectrograms/EmoDB/wav/03a05Aa.npy,Data/mel_spectrograms/EmoDB/wav/03a05Aa.png,2,0.0,0.0,1.0,0.0,0.0,0.0
03a05Fc.wav,03,Data/padded_audio/EmoDB/wav/03a05Fc.wav,Happiness,The black piece of paper is up there next to the piece of wood.,3.1961875,16000,EmoDB,Data/mel_spectrograms/EmoDB/wav/03a05Fc.npy,Data/mel_spectrograms/EmoDB/wav/03a05Fc.png,3,0.0,0.0,0.0,1.0,0.0,0.0
03a05Nd.wav,03,Data/padded_audio/EmoDB/wav/03a05Nd.wav,Neutral,The black piece of paper is up there next to the piece of wood.,3.168,16000,EmoDB,Data/mel_spectrograms/EmoDB/wav/03a05Nd.npy,Data/mel_spectrograms/EmoDB/wav/03a05Nd.png,4,0.0,0.0,0.0,0.0,1.0,0.0
03a05Tc.wav,03,Data/padded_audio/EmoDB/wav/03a05Tc.wav,Sadness,The black piece of paper is up there next to the piece of wood.,3.4978125,16000,EmoDB,Data/mel_spectrograms/EmoDB/wav/03a05Tc.npy,Data/mel_spectrograms/EmoDB/wav/03a05Tc.png,5,0.0,0.0,0.0,0.0,0.0,1.0
03a05Wa.wav,03,Data/padded_audio/EmoDB/wav/03a05Wa.wav,Anger,The black piece of paper is up there next to the piece of wood.,3.44075,16000,EmoDB,Data/mel_spectrograms/EmoDB/wav/03a05Wa.npy,Data/mel_spectrograms/EmoDB/wav/03a05Wa.png,0,1.0,0.0,0.0,0.0,0.0,0.0
03a05Wb.wav,03,Data/padded_audio/EmoDB/wav/03a05Wb.wav,Anger,The black piece of paper is up there next to the piece of wood.,2.96225,16000,EmoDB,Data/mel_spectrograms/EmoDB/wav/03a05Wb.npy,Data/mel_spectrograms/EmoDB/wav/03a05Wb.png,0,1.0,0.0,0.0,0.0,0.0,0.0
03a07Fa.wav,03,Data/padded_audio/EmoDB/wav/03a07Fa.wav,Happiness,"In seven hours, it will be time.",2.1338125,16000,EmoDB,Data/mel_spectrograms/EmoDB/wav/03a07Fa.npy,Data/mel_spectrograms/EmoDB/wav/03a07Fa.png,3,0.0,0.0,0.0,1.0,0.0,0.0
03a07Fb.wav,03,Data/padded_audio/EmoDB/wav/03a07Fb.wav,Happiness,"In seven hours, it will be time.",2.449875,16000,EmoDB,Data/mel_spectrograms/EmoDB/wav/03a07Fb.npy,Data/mel_spectrograms/EmoDB/wav/03a07Fb.png,3,0.0,0.0,0.0,1.0,0.0,0.0
03a07Nc.wav,03,Data/padded_audio/EmoDB/wav/03a07Nc.wav,Neutral,"In seven hours, it will be time.",1.788125,16000,EmoDB,Data/mel_spectrograms/EmoDB/wav/03a07Nc.npy,Data/mel_spectrograms/EmoDB/wav/03a07Nc.png,4,0.0,0.0,0.0,0.0,1.0,0.0
03a07Wc.wav,03,Data/padded_audio/EmoDB/wav/03a07Wc.wav,Anger,"In seven hours, it will be time.",2.0875625,16000,EmoDB,Data/mel_spectrograms/EmoDB/wav/03a07Wc.npy,Data/mel_spectrograms/EmoDB/wav/03a07Wc.png,0,1.0,0.0,0.0,0.0,0.0,0.0
03b01Fa.wav,03,Data/padded_audio/EmoDB/wav/03b01Fa.wav,Happiness,What kind of bags are those standing under the table?,2.3621875,16000,EmoDB,Data/mel_spectrograms/EmoDB/wav/03b01Fa.npy,Data/mel_spectrograms/EmoDB/wav/03b01Fa.png,3,0.0,0.0,0.0,1.0,0.0,0.0
03b01Nb.wav,03,Data/padded_audio/EmoDB/wav/03b01Nb.wav,Neutral,What kind of bags are those standing under the table?,2.3891875,16000,EmoDB,Data/mel_spectrograms/EmoDB/wav/03b01Nb.npy,Data/mel_spectrograms/EmoDB/wav/03b01Nb.png,4,0.0,0.0,0.0,0.0,1.0,0.0
