file_name,speaker,path,emotion,sentence,Duration (seconds),Sampling Rate (Hz),dataset
03a01Fa.wav,03,Data/padded_audio/EmoDB/wav/03a01Fa.wav,Happiness,The cloth is lying on the icebox.,1.89825,16000,EmoDB
03a01Nc.wav,03,Data/padded_audio/EmoDB/wav/03a01Nc.wav,Neutral,The cloth is lying on the icebox.,1.61125,16000,EmoDB
03a01Wa.wav,03,Data/padded_audio/EmoDB/wav/03a01Wa.wav,Anger,The cloth is lying on the icebox.,1.8778125,16000,EmoDB
03a02Fc.wav,03,Data/padded_audio/EmoDB/wav/03a02Fc.wav,Happiness,The knife is in the drawer.,2.00625,16000,EmoDB
03a02Nc.wav,03,Data/padded_audio/EmoDB/wav/03a02Nc.wav,Neutral,The knife is in the drawer.,1.4398125,16000,EmoDB
03a02Ta.wav,03,Data/padded_audio/EmoDB/wav/03a02Ta.wav,Sadness,The knife is in the drawer.,1.7356875,16000,EmoDB
03a02Wb.wav,03,Data/padded_audio/EmoDB/wav/03a02Wb.wav,Anger,The knife is in the drawer.,2.123625,16000,EmoDB
03a02Wc.wav,03,Data/padded_audio/EmoDB/wav/03a02Wc.wav,Anger,The knife is in the drawer.,1.4980625,16000,EmoDB
03a04Ad.wav,03,Data/padded_audio/EmoDB/wav/03a04Ad.wav,Fear,I might tell him tonight.,1.504875,16000,EmoDB
03a04Fd.wav,03,Data/padded_audio/EmoDB/wav/03a04Fd.wav,Happiness,I might tell him tonight.,1.6968125,16000,EmoDB
03a04Nc.wav,03,Data/padded_audio/EmoDB/wav/03a04Nc.wav,Neutral,I might tell him tonight.,1.5613125,16000,EmoDB
03a04Ta.wav,03,Data/padded_audio/EmoDB/wav/03a04Ta.wav,Sadness,I might tell him tonight.,2.0635625,16000,EmoDB
03a04Wc.wav,03,Data/padded_audio/EmoDB/wav/03a04Wc.wav,Anger,I might tell him tonight.,2.044125,16000,EmoDB
03a05Aa.wav,03,Data/padded_audio/EmoDB/wav/03a05Aa.wav,Fear,The black piece of paper is up there next to the piece of wood.,3.087625,16000,EmoDB
03a05Fc.wav,03,Data/padded_audio/EmoDB/wav/03a05Fc.wav,Happiness,The black piece of paper is up there next to the piece of wood.,3.1961875,16000,EmoDB
03a05Nd.wav,03,Data/padded_audio/EmoDB/wav/03a05Nd.wav,Neutral,The black piece of paper is up there next to the piece of wood.,3.168,16000,EmoDB
03a05Tc.wav,03,Data/padded_audio/EmoDB/wav/03a05Tc.wav,Sadness,The black piece of paper is up there next to the piece of wood.,3.4978125,16000,EmoDB
