file_name,speaker,path,modality_code,modality,vocal channel code,vocal channel,emotion_code,emotion,emotion intensity code,emotion intensity,sentence code,sentence,repetition code,repetition
03-01-01-01-01-01-01.wav,Actor_01,Data/RAVDESS/Actor_01\03-01-01-01-01-01-01.wav,03,audio-only,01,speech,01,Neutral,01,normal,01,Kids are talking by the door.,01,1st repetition
03-01-01-01-01-02-01.wav,Actor_01,Data/RAVDESS/Actor_01\03-01-01-01-01-02-01.wav,03,audio-only,01,speech,01,Neutral,01,normal,01,Kids are talking by the door.,02,2nd repetition
03-01-01-01-02-01-01.wav,Actor_01,Data/RAVDESS/Actor_01\03-01-01-01-02-01-01.wav,03,audio-only,01,speech,01,Neutral,01,normal,02,Dogs are sitting by the door.,01,1st repetition
03-01-01-01-02-02-01.wav,Actor_01,Data/RAVDESS/Actor_01\03-01-01-01-02-02-01.wav,03,audio-only,01,speech,01,Neutral,01,normal,02,Dogs are sitting by the door.,02,2nd repetition
03-01-02-01-01-01-01.wav,Actor_01,Data/RAVDESS/Actor_01\03-01-02-01-01-01-01.wav,03,audio-only,01,speech,02,Calm,01,normal,01,Kids are talking by the door.,01,1st repetition
03-01-02-01-01-02-01.wav,Actor_01,Data/RAVDESS/Actor_01\03-01-02-01-01-02-01.wav,03,audio-only,01,speech,02,Calm,01,normal,01,Kids are talking by the door.,02,2nd repetition
03-01-02-01-02-01-01.wav,Actor_01,Data/RAVDESS/Actor_01\03-01-02-01-02-01-01.wav,03,audio-only,01,speech,02,Calm,01,normal,02,Dogs are sitting by the door.,01,1st repetition
03-01-02-01-02-02-01.wav,Actor_01,Data/RAVDESS/Actor_01\03-01-02-01-02-02-01.wav,03,audio-only,01,speech,02,Calm,01,normal,02,Dogs are sitting by the door.,02,2nd repetition
03-01-02-02-01-01-01.wav,Actor_01,Data/RAVDESS/Actor_01\03-01-02-02-01-01-01.wav,03,audio-only,01,speech,02,Calm,02,strong,01,Kids are talking by the door.,01,1st repetition
03-01-02-02-01-02-01.wav,Actor_01,Data/RAVDESS/Actor_01\03-01-02-02-01-02-01.wav,03,audio-only,01,speech,02,Calm,02,strong,01,Kids are talking by the door.,02,2nd repetition
